command line: ../SSG/exact-counting_pcap.py vpp_generator_capture.pcap vpp_generator_capture_ref.txt --parsing_mode 1
simulation time: 0:05:22.802926
==========================================
Global HLL: 186198 722
cardinality_count	key	ratio_cardinality		||	elephant_count	ratio_elephant	|	overMinRank	ratio_overMinRank
==========VVV=============
1479 	 11.22.33.12 	 0.794		||	896875 	 4.54	|	27901 	 3.11
239 	 11.12.33.28 	 0.128		||	13909 	 0.0704	|	866 	 6.23
239 	 11.12.33.29 	 0.128		||	13906 	 0.0704	|	351 	 2.52
239 	 11.12.35.108 	 0.128		||	13897 	 0.0704	|	577 	 4.15
239 	 11.12.35.109 	 0.128		||	13897 	 0.0704	|	636 	 4.58
1479 	 11.22.33.10 	 0.794		||	896867 	 4.54	|	29090 	 3.24
239 	 11.12.34.241 	 0.128		||	13888 	 0.0703	|	526 	 3.79
239 	 11.12.35.102 	 0.128		||	13895 	 0.0704	|	289 	 2.08
239 	 11.12.35.103 	 0.128		||	13895 	 0.0704	|	580 	 4.17
239 	 11.12.35.100 	 0.128		||	13895 	 0.0704	|	287 	 2.07
1479 	 11.22.33.11 	 0.794		||	896866 	 4.54	|	25465 	 2.84
239 	 11.12.35.106 	 0.128		||	13893 	 0.0703	|	583 	 4.2
239 	 11.12.35.107 	 0.128		||	13895 	 0.0704	|	405 	 2.91
239 	 11.12.35.104 	 0.128		||	13894 	 0.0704	|	407 	 2.93
239 	 11.12.35.105 	 0.128		||	13894 	 0.0704	|	234 	 1.68
239 	 11.12.34.92 	 0.128		||	13898 	 0.0704	|	230 	 1.65
239 	 11.12.34.93 	 0.128		||	13900 	 0.0704	|	407 	 2.93
239 	 11.12.34.90 	 0.128		||	13898 	 0.0704	|	407 	 2.93
239 	 11.12.34.91 	 0.128		||	13899 	 0.0704	|	235 	 1.69
239 	 11.12.34.96 	 0.128		||	13900 	 0.0704	|	528 	 3.8
239 	 11.12.34.97 	 0.128		||	13901 	 0.0704	|	409 	 2.94
239 	 11.12.34.94 	 0.128		||	13899 	 0.0704	|	521 	 3.75
239 	 11.12.34.95 	 0.128		||	13899 	 0.0704	|	465 	 3.35
239 	 11.12.34.98 	 0.128		||	13899 	 0.0704	|	348 	 2.5
239 	 11.12.34.99 	 0.128		||	13900 	 0.0704	|	583 	 4.19
239 	 11.12.35.118 	 0.128		||	13896 	 0.0704	|	290 	 2.09
239 	 11.12.35.192 	 0.128		||	13900 	 0.0704	|	639 	 4.6
239 	 11.12.34.118 	 0.128		||	13895 	 0.0704	|	579 	 4.17
239 	 11.12.34.119 	 0.128		||	13897 	 0.0704	|	575 	 4.14
239 	 11.12.34.114 	 0.128		||	13897 	 0.0704	|	351 	 2.53
239 	 11.12.34.115 	 0.128		||	13897 	 0.0704	|	349 	 2.51
239 	 11.12.34.116 	 0.128		||	13897 	 0.0704	|	526 	 3.78
239 	 11.12.34.117 	 0.128		||	13896 	 0.0704	|	294 	 2.12
239 	 11.12.34.110 	 0.128		||	13897 	 0.0704	|	235 	 1.69
239 	 11.12.34.111 	 0.128		||	13899 	 0.0704	|	752 	 5.41
239 	 11.12.34.112 	 0.128		||	13898 	 0.0704	|	234 	 1.68
239 	 11.12.34.113 	 0.128		||	13899 	 0.0704	|	407 	 2.93
239 	 11.12.35.86 	 0.128		||	13885 	 0.0703	|	463 	 3.33
239 	 11.12.35.87 	 0.128		||	13889 	 0.0703	|	408 	 2.94
239 	 11.12.35.84 	 0.128		||	13886 	 0.0703	|	463 	 3.33
239 	 11.12.35.85 	 0.128		||	13885 	 0.0703	|	638 	 4.59
239 	 11.12.35.82 	 0.128		||	13887 	 0.0703	|	175 	 1.26
239 	 11.12.35.83 	 0.128		||	13888 	 0.0703	|	635 	 4.57
239 	 11.12.35.71 	 0.128		||	13890 	 0.0703	|	758 	 5.46
239 	 11.12.35.81 	 0.128		||	13888 	 0.0703	|	290 	 2.09
239 	 11.12.35.88 	 0.128		||	13889 	 0.0703	|	350 	 2.52
239 	 11.12.35.89 	 0.128		||	13890 	 0.0703	|	640 	 4.61
239 	 11.12.33.214 	 0.128		||	13908 	 0.0704	|	465 	 3.34
239 	 11.12.33.215 	 0.128		||	13910 	 0.0704	|	463 	 3.33
